provincial,tie_line,total,new_energy,hydraulic,non_market,rem_power,TEMP,open_price,is_workday,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_5,quarter_1,quarter_2,season_1,season_2,log_price
13780,6554.0,15316.41,1089.05,2241.36,3753.65,17003.59,-11.06,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13544,6550.0,15181.4,1096.45,2098.95,3810.73,16898.6,-11.143059734915283,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13525,6546.0,15190.01,1106.3,2097.71,3772.33,16866.99,-11.221163188042556,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13446,6442.0,15180.05,1109.58,2084.47,3775.49,16693.949999999993,-11.305762348631639,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13468,6438.0,15176.0,1106.94,2083.06,3781.3,16716.0,-11.389404236822212,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13512,6430.0,15167.93,1096.61,2085.32,3787.92,16760.07,-11.461622246583033,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13513,6426.0,15156.62,1085.96,2084.66,3792.06,16768.38,-11.541290929477256,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13656,6320.0,15155.7,1086.4,2083.3,3800.19,16806.3,-11.620138449630039,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13511,6312.0,15127.43,1062.57,2078.86,3808.77,16681.57,-11.701162964067526,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13622,6306.0,15117.52,1048.27,2083.25,3817.82,16796.48,-11.775601598011894,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13622,6298.0,15098.74,1029.67,2083.07,3822.4,16807.260000000002,-11.850133465694988,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13598,6298.0,15080.19,1011.13,2083.06,3837.53,16801.809999999998,-11.938767521117242,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13576,6300.0,15088.8,1000.43,2102.37,3846.0,16773.2,-12.013635333032123,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13612,6300.0,15118.13,1008.33,2123.8,3852.16,16779.87,-12.08678499694269,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13550,6290.0,15143.62,1015.95,2141.67,3863.51,16682.379999999994,-12.173184756966071,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13652,6290.0,15169.51,1009.07,2174.44,3871.07,16758.49,-12.247822430979864,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13429,6272.0,15169.14,1010.33,2172.81,3880.33,16517.859999999993,-12.330866050704394,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13436,6242.0,15174.93,1015.96,2172.97,3885.34,16489.07,-12.407089879774446,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13432,6212.0,15176.51,1017.85,2172.66,3892.83,16453.49,-12.494287314353528,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13490,6172.0,15189.92,1029.57,2174.35,3901.47,16458.08,-12.572673862836584,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13464,6152.0,15187.66,1028.45,2173.21,3904.12,16414.34,-12.658128207807724,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13482,6132.0,15196.43,1034.62,2175.81,3909.77,16403.57,-12.74279838905472,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13502,6102.0,15211.81,1049.57,2176.24,3915.8,16378.19,-12.827363227870045,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.121683271400496
13656,6072.0,15322.58,1066.11,2180.47,3918.62,16481.42,-12.906612815757553,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13620,6080.0,15380.51,1079.2,2225.31,3919.46,16395.489999999998,-12.993988194468017,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.121683271400496
13795,6080.0,15442.56,1103.73,2262.83,3924.43,16508.440000000002,-13.079175150804947,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.156203261060256
13889,6100.0,15480.82,1138.89,2265.93,3934.55,16584.18,-13.14924762427881,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.142463121409128
14067,6110.0,15608.58,1181.01,2351.57,3939.64,16644.420000000002,-13.234737100869634,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.182770621973401
14143,6122.0,15656.36,1227.58,2352.78,3945.0,16684.64,-13.307935870384705,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.173786103901937
14320,6122.0,15716.47,1282.56,2357.91,3953.24,16801.53,-13.379309964923296,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.220695532342184
14403,6112.0,15865.77,1350.52,2439.25,3957.86,16725.23,-13.464897345703573,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.173786103901937
14424,6112.0,15960.87,1421.85,2463.02,3960.16,16651.13,-13.547814068455644,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14483,6040.0,16043.34,1478.46,2488.88,3950.21,16555.66,-13.89,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.182770621973401
14705,6370.0,16119.82,1541.9,2501.92,3956.62,17031.18,-13.01,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.26281523552151
14896,6700.0,16237.48,1643.55,2517.93,3974.59,17434.52,-12.13,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15072,6340.0,16429.34,1814.94,2538.4,3995.67,17058.66,-11.25,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15151,6414.0,16654.46,2126.12,2542.34,4020.36,16896.54,-10.37,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15234,6418.0,17136.4,2630.04,2520.36,4066.48,16501.6,-9.49,718.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15332,6402.0,17720.6,3235.79,2498.81,4122.93,15999.4,-8.61,707.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15561,6374.0,18354.53,3939.59,2428.94,4187.35,15566.47,-7.73,708.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
15626,7652.0,18829.47,4577.12,2266.35,4246.24,16434.530000000002,-6.85,706.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
15616,7602.0,19426.71,5148.7,2292.01,4301.29,15777.29,-5.97,710.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.040254711277414
15584,7602.0,19752.71,5656.71,2110.0,4349.01,15419.29,-5.09,710.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.991464547107982
15521,7602.0,20162.02,6095.97,2080.05,4385.92,14946.98,-4.21,708.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.91350300563827
15478,11094.0,20247.67,6442.78,1818.89,4411.07,18310.33,-3.33,706.4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.12029741895095
15639,11094.0,20496.18,6716.29,1793.89,4430.61,18222.82,-2.92,709.6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.12029741895095
15544,11094.0,20634.99,6910.1,1738.89,4437.03,17989.010000000002,-2.5,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.128616564851794
15512,11094.0,20797.92,7073.03,1738.89,4444.69,17794.08,-2.08,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.0737033032394745
15321,11094.0,20845.44,7155.55,1703.89,4447.71,17555.56,-1.67,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.949978269500564
15227,11094.0,20887.14,7197.25,1703.89,4450.1,17419.86,-1.25,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.886104031450156
15016,11094.0,20894.3,7204.41,1703.89,4441.66,17201.7,-0.83,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.886104031450156
14803,11094.0,20863.27,7173.38,1703.89,4442.49,17019.73,-0.42,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.865527104461324
14648,11114.0,20796.9,7107.01,1703.89,4437.04,16951.1,0.0,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.8017406605472654
14557,11114.0,20721.04,7031.15,1703.89,4442.1,16935.96,0.42,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.898987350614262
14458,11114.0,20616.07,6926.18,1703.89,4441.0,16941.93,0.83,711.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.857933154483459
14484,11124.0,20501.41,6811.52,1703.89,4438.71,17092.59,1.25,712.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.917285033933724
14503,11128.0,20350.95,6660.06,1704.89,4422.27,17266.05,1.67,708.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.942447607226882
14509,11128.0,20183.2,6492.31,1704.89,4411.01,17439.8,1.81,712.2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.970840832812113
14534,11128.0,19986.13,6295.24,1704.89,4401.18,17661.870000000006,1.94,711.2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.995030680887567
14585,11128.0,19782.77,6091.88,1704.89,4377.06,17916.23,2.08,711.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5.991464547107982
14651,11128.0,19490.09,5799.2,1704.89,4342.86,18274.91,2.22,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.176145817586396
14761,11128.0,19152.77,5461.88,1704.89,4303.52,18722.23,2.36,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.186829830088924
14846,11128.0,18785.13,5094.24,1704.89,4259.44,19174.870000000006,2.5,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.226273788887639
14899,11108.0,18360.74,4659.85,1704.89,4197.69,19642.26,2.64,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.315238645394251
14857,7556.0,17952.94,4213.05,1743.89,4129.76,16456.06,2.78,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.128616564851794
15113,7530.0,17579.27,3604.39,1978.88,4051.76,17059.73,2.92,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15303,7522.0,16944.95,2946.82,2002.13,3979.61,17876.05,3.06,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.380122536899765
15509,7514.0,16510.95,2227.93,2197.02,3905.97,18598.05,3.19,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.396929655216146
